# Name    Mabs    Merr    Vrot
0925    -19.79    0.29    102.42
1365    -21.91    0.37    208.37
1425    -20.99    0.17    179.28
2090    -19.93    0.11    138.53
2541    -18.85    0.18    92.12
3198    -20.32    0.08    148.24
3319    -19.38    0.14    94.48
3351    -19.85    0.11    178.26
3368    -20.54    0.14    194.04
3621    -19.68    0.12    132.51
3627    -21.18    0.18    191.88
4414    -20.93    0.13    224.73
4535    -20.85    0.10    176.56
4536    -20.49    0.12    172.68
4548    -20.46    0.24    163.22
4725    -21.36    0.10    225.42
7331    -21.81    0.12    245.49
224    -21.58    0.19    249.84
598    -18.67    0.18    100.4
2403    -19.27    0.29    121.86
3031    -20.84    0.17    224.51
